epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20620.2,1.32719,1.123,2.28176,0.80288,0.73684,0.77993,0.45406,1.30046,1.16537,2.40043,0.00111179,0.00111179,0.00111179
43,21108.1,1.32398,1.09991,2.28614,0.8134,0.7298,0.78343,0.45676,1.30298,1.15126,2.4045,0.00109459,0.00109459,0.00109459
44,21598.8,1.32961,1.10583,2.28195,0.80227,0.73929,0.77664,0.45545,1.2969,1.15955,2.3964,0.00107715,0.00107715,0.00107715
45,22090.6,1.31833,1.09133,2.26605,0.80497,0.74393,0.79066,0.46082,1.29854,1.11598,2.40165,0.0010595,0.0010595,0.0010595
46,22574.9,1.30778,1.07519,2.25669,0.81621,0.73923,0.78764,0.46111,1.2922,1.10616,2.38393,0.00104164,0.00104164,0.00104164
47,23068.3,1.3162,1.06913,2.26692,0.81435,0.73666,0.78227,0.45809,1.29192,1.09766,2.37898,0.00102359,0.00102359,0.00102359
48,23553.3,1.30669,1.06038,2.25755,0.81141,0.74328,0.78464,0.46063,1.28092,1.09551,2.3772,0.00100535,0.00100535,0.00100535
49,24044.5,1.30508,1.05251,2.2415,0.82319,0.7422,0.79071,0.46639,1.28534,1.09817,2.373,0.000986945,0.000986945,0.000986945
50,24530.9,1.30521,1.05254,2.24774,0.82541,0.73388,0.78705,0.46337,1.28728,1.09891,2.37292,0.000968381,0.000968381,0.000968381
51,25020.1,1.29237,1.07261,2.22929,0.81002,0.73852,0.78551,0.4632,1.3001,1.09667,2.38559,0.000949673,0.000949673,0.000949673
52,25506.2,1.29361,1.05846,2.24185,0.82577,0.73982,0.79414,0.46867,1.29349,1.0999,2.37504,0.000930833,0.000930833,0.000930833
53,25996.2,1.27774,1.02159,2.21332,0.82686,0.74043,0.78859,0.46619,1.28462,1.08818,2.36426,0.000911874,0.000911874,0.000911874
54,26482.5,1.28966,1.02983,2.24076,0.81208,0.74931,0.79081,0.46876,1.27569,1.08032,2.36724,0.00089281,0.00089281,0.00089281
55,26969.6,1.28431,1.05005,2.23429,0.82163,0.74462,0.79112,0.47015,1.27209,1.04537,2.35526,0.000873653,0.000873653,0.000873653
56,27461.5,1.27567,1.03428,2.22194,0.81731,0.75027,0.7932,0.47135,1.2723,1.04572,2.35201,0.000854416,0.000854416,0.000854416
